# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
WASP-44 b,0.889,0.062,0.062,1.14,0.11,0.11,2.4238039,8.7e-06,8.7e-06,0.03473,0.00041,0.00041,0.0,,,,86.02,0.86,0.86,2455434.376,0.0004,0.0004,,,,,,,,,,,,,,1,2011,2013-01-16,,,,,,,detected by transit,,WASP-44,3.9041667,-11.9380556,12.9,,,,,,0.06,0.951,0.927,G8V,0.9,5410.0
WASP-45 b,1.007,0.053,0.053,1.16,0.14,0.14,3.1260876,3.5e-06,3.5e-06,0.04054,0.0009,0.0009,0.0,,,,84.47,0.79,0.79,2455441.26925,0.00058,0.00058,,,,,,,,,,,,,,1,2011,2011-05-17,,,,,,,detected by transit,,WASP-45,5.2375,-35.9983333,12.0,,,,,,0.36,0.909,0.945,K2V,1.4,5140.0
WASP-46 b,2.101,0.073,0.073,1.31,0.051,0.051,1.43037,2.3e-06,2.3e-06,0.02448,0.00028,0.00028,0.0,,,,82.63,0.38,0.38,2455392.31553,0.0002,0.0002,,,,,,,,,,,,,,1,2011,2011-05-17,,,,,,,detected by transit,,WASP-46,318.7375,-55.8716667,12.9,,,,,,-0.37,0.956,0.917,G6V,1.4,5620.0
WASP-47 b,1.14,0.05,0.05,1.15,0.02,0.02,4.1591399,7.2e-06,7.2e-06,0.052,0.0006,0.0006,0.0,,,0.00026,89.2,0.7,0.7,2455764.34602,0.00022,0.00022,,,,,,,,,,,,,,1,2011,2012-04-24,,,,,,,detected by transit,,WASP-47,331.2041667,-12.0188889,11.9,,,,,200.0,0.18,1.084,1.15,G9V,,5400.0
WASP-48 b,0.98,0.09,0.09,1.67,0.08,0.08,2.143634,3e-06,3e-06,0.03444,0.00043,0.00043,0.0,,,,80.09,0.55,0.55,5364.55043,0.00027,0.00027,,,,,,,,,,,,,,1,2011,2011-04-15,,,,,,,detected by transit,,WASP-48,291.1625,55.4730556,11.06,,,,,,-0.12,1.19,1.75,,,5990.0
WASP-49 b,0.378,0.027,0.027,1.115,0.047,0.047,2.7817387,5.6e-06,5.6e-06,0.0378,0.027,0.027,,,,,84.89,0.19,0.19,2455580.59436,0.00029,0.00029,,,,,,,,,,,,,,1,2011,2012-05-15,,,,,,,detected by transit,,WASP-49,0.0,0.0,,,,,,,,,,,,
WASP-5 b,1.637,0.082,0.082,1.171,0.057,0.057,1.6284246,1.3e-06,1.3e-06,0.02729,0.00056,0.00056,0.0,,,9.2e-05,85.8,1.1,1.1,2454375.62494,0.00024,0.00024,,,,,,,,,,,,,,3,2007,2013-08-05,,,,,,,detected by transit,,WASP-5,359.35,-41.2772222,12.26,,,,,297.0,0.09,1.0,1.084,G5,3.0,5700.0
WASP-50 b,1.437,0.068,0.068,1.138,0.026,0.026,1.9550959,5.1e-06,5.1e-06,0.02913,0.00064,0.00064,0.009,0.006,0.006,0.000128,84.74,0.24,0.24,2455561.549,0.01,0.01,,,,,,,,,,,,,,1,2011,2012-12-05,44.0,80.0,80.0,,,,detected by transit,,WASP-50,43.6875,-10.8980556,11.6,,,,,230.0,-0.12,0.861,0.855,G9,8.1,5400.0
WASP-52 b,0.46,0.02,0.02,1.27,0.03,0.03,1.7497798,1.2e-06,1.2e-06,0.0272,0.0003,0.0003,0.0,,,,85.35,0.2,0.2,2455793.68143,9e-05,9e-05,,,,,,,,,,,,,,3,2011,2012-11-07,,,,,,,detected by transit,,WASP-52,348.4958,8.7614,12.0,,,,,140.0,0.03,0.87,0.79,K2V,0.4,5000.0
WASP-53 b,2.5,,,1.2,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-09-13,,,,,,,detected by transit,,WASP-53,0.0,0.0,,,,,,,,,,,,
